,r,rho,vp,vs,K,G
216,1657287.1493528076,5967.987100781318,4458.377884631701,0.0,119973292769.28792,0.0
217,1660493.9973633464,5964.64871670379,4455.492032888319,0.0,119744831116.4414,0.0
218,1663690.2883733728,5961.316419175819,4452.610955903516,0.0,119517064834.32912,0.0
219,1666876.1186502187,5957.990165113092,4449.734620989793,0.0,119289989423.80237,0.0
220,1670051.5830864413,5954.669911960615,4446.862995885835,0.0,119063600439.68787,0.0
221,1673216.775227099,5951.355617678691,4443.996048744902,0.0,118837893489.5321,0.0
222,1676371.787296324,5948.04724074113,4441.133748134059,0.0,118612864233.19876,0.0
223,1679516.710223601,5944.744740130583,4438.276063030667,0.0,118388508382.26222,0.0
224,1682651.633669032,5941.448075321861,4435.422962808605,0.0,118164821698.59705,0.0
225,1685776.6460480806,5938.157206273417,4432.5744172314035,0.0,117941799993.52303,0.0
226,1688891.8345557128,5934.872093418993,4429.730396445718,0.0,117719439126.97916,0.0
227,1691997.2851899501,5931.592697696824,4426.890871007146,0.0,117497735009.23132,0.0
228,1695093.082774858,5928.318279566193,4424.055229674957,0.0,117276637545.42505,0.0
229,1698179.310982978,5925.0502034348565,4421.224608567763,0.0,117056234945.30605,0.0
230,1701256.0523572217,5921.787729815852,4418.398396534714,0.0,116836477092.75789,0.0
231,1704323.388332244,5918.530821390268,4415.576565525682,0.0,116617360077.81693,0.0
232,1707381.3992553097,5915.279441315744,4412.759087855621,0.0,116398880036.59412,0.0
233,1710430.164406668,5912.033553029149,4409.945936079115,0.0,116181033140.0372,0.0
234,1713469.762019447,5908.793052769242,4407.137026887558,0.0,115963811192.40308,0.0
235,1716500.2692990876,5905.557958656981,4404.332378264349,0.0,115747213974.2587,0.0
236,1719521.7624423204,5902.328243448236,4401.531970490718,0.0,115531238312.84143,0.0
237,1722534.3166507035,5899.103872187191,4398.735777428865,0.0,115315880546.63326,0.0
238,1725538.0060996744,5895.884810322675,4395.943773268935,0.0,115101137055.1575,0.0
239,1728532.9040426342,5892.671023722817,4393.1559325422595,0.0,114887004259.74025,0.0
240,1731519.082809721,5889.462479623428,4390.372230944683,0.0,114673478686.36371,0.0
241,1734496.613810134,5886.259144085593,4387.592643131419,0.0,114460556796.17834,0.0
242,1737465.567548642,5883.060983150067,4384.817143718381,0.0,114248235062.51384,0.0
243,1740426.0136417225,5879.867963337062,4382.045707716255,0.0,114036510003.95825,0.0
244,1743378.020833338,5876.6800516378435,4379.278310523705,0.0,113825378183.55963,0.0
245,1746321.6570103609,5873.497215506522,4376.514927920738,0.0,113614836208.04541,0.0
246,1749256.9892176597,5870.319422852027,4373.755536062248,0.0,113404880727.0611,0.0
247,1752184.0836728502,5867.146642030254,4371.000111471655,0.0,113195508432.42296,0.0
248,1755103.0057807236,5863.978841986851,4368.248631165389,0.0,112986716067.29907,0.0
249,1758013.8201473604,5860.81599259814,4365.501072949759,0.0,112778500448.36694,0.0
250,1760916.5905939355,5857.658063309019,4362.75741423798,0.0,112570858375.88216,0.0
251,1763811.380170228,5854.5050238986005,4360.017632715689,0.0,112363786684.07004,0.0
252,1766698.2511678368,5851.356844600579,4357.28170644578,0.0,112157282248.83272,0.0
253,1769577.265133114,5848.213496095425,4354.549613862125,0.0,111951341987.01933,0.0
254,1772448.4828798245,5845.074949508926,4351.821333765313,0.0,111745962855.94632,0.0
255,1775311.9645015318,5841.941176419222,4349.096845320696,0.0,111541141853.22705,0.0
256,1778167.7693837273,5838.812148809668,4346.376128040936,0.0,111336876014.60722,0.0
257,1781015.9562157004,5835.68783907873,4343.659161785206,0.0,111133162413.93213,0.0
258,1783856.5830021615,5832.568220035473,4340.945926754162,0.0,110929998162.5787,0.0
259,1786689.7070527321,5829.453264919409,4338.236403507669,0.0,110727380410.5513,0.0
260,1789515.3842719079,5826.342948194242,4335.530573655878,0.0,110525306397.8207,0.0
261,1792333.669612688,5823.2372450339935,4332.828419412745,0.0,110323773420.4773,0.0
262,1795144.6173479722,5820.1361310500615,4330.129923359216,0.0,110122778812.75023,0.0
263,1797948.2815893763,5817.039581703071,4327.4350679316985,0.0,109922319908.75085,0.0
264,1800744.7161858133,5813.947572457917,4324.743835557065,0.0,109722394052.51665,0.0
265,1803533.9741406452,5810.860079404059,4322.056209192808,0.0,109522998638.01276,0.0
266,1806316.1077357472,5807.777079127776,4319.3721722163955,0.0,109324131100.62885,0.0
267,1809091.1684322099,5804.69854882042,4316.691708519799,0.0,109125788923.91977,0.0
268,1811859.2071821915,5801.624465947939,4314.0148022222875,0.0,108927969618.09566,0.0
269,1814620.2743224816,5798.554808372246,4311.341437776403,0.0,108730670727.68243,0.0
270,1817374.4195822426,5795.489554347181,4308.6715999647295,0.0,108533889831.07924,0.0
271,1820121.692093832,5792.428682511326,4306.005273894016,0.0,108337624539.92198,0.0
272,1822862.1404014977,5789.372171883104,4303.342444991269,0.0,108141872498.59668,0.0
273,1825595.812468882,5786.32000185706,4300.683099000807,0.0,107946631383.82817,0.0
274,1828322.7556902226,5783.272152195974,4298.027221977706,0.0,107751898904.00722,0.0
275,1831043.0168977021,5780.228602910656,4295.374800183327,0.0,107557672791.35693,0.0
276,1833756.6423688298,5777.189335027564,4292.725820754755,0.0,107363950850.71724,0.0
277,1836463.6778367714,5774.154325617251,4290.080267371416,0.0,107170730642.80812,0.0
278,1839164.168498113,5771.123557347424,4287.438128582101,0.0,106978010092.8117,0.0
279,1841858.159020552,5768.09701381989,4284.799393747506,0.0,106785787192.50787,0.0
280,1844545.6935506968,5765.074677974974,4282.164051646455,0.0,106594059898.60025,0.0
281,1847226.8157253005,5762.056532115155,4279.532090487006,0.0,106402826133.99924,0.0
282,1849901.5690061573,5759.042557533105,4276.903497588589,0.0,106212083764.83615,0.0
283,1852569.996459801,5756.03273475052,4274.278259589949,0.0,106021830615.90614,0.0
284,1855232.140589281,5753.027043372048,4271.656362321521,0.0,105832064461.71887,0.0
285,1857888.0434898667,5750.025462882599,4269.0377915007875,0.0,105642783077.0689,0.0
286,1860537.7468618536,5747.027972200264,4266.4225323423225,0.0,105453984208.91528,0.0
287,1863181.292023149,5744.034549519973,4263.810569421227,0.0,105265665566.73782,0.0
288,1865818.7209156603,5741.045171120199,4261.201885631665,0.0,105077824747.84822,0.0
289,1868450.077062943,5738.059810443695,4258.5964613838305,0.0,104890459180.41519,0.0
290,1871075.402771357,5735.078441189289,4255.994277301797,0.0,104703566318.20006,0.0
291,1873694.740407141,5732.101035881118,4253.395312974755,0.0,104517143550.89626,0.0
292,1876308.132487939,5729.1275657913675,4250.799546889409,0.0,104331188199.71327,0.0
293,1878915.6217283143,5726.158000902679,4248.206956396809,0.0,104145697515.46071,0.0
294,1881517.2508116753,5723.192310211594,4245.617517977122,0.0,103960668697.91954,0.0
295,1884113.0608190736,5720.230463465294,4243.031208756053,0.0,103776099004.33487,0.0
296,1886703.0936150732,5717.272428463963,4240.448004149517,0.0,103591985581.3017,0.0
297,1889287.3913366452,5714.318171698423,4237.867878420091,0.0,103408325505.07018,0.0
298,1891865.996172634,5711.367658608888,4235.290804902835,0.0,103225115798.05307,0.0
