,r,rho,vp,vs,vphi,K,G
0,0.0,7713.476956789447,5564.356408506093,0.0,0.0,235825265279.1322,0.0
1,7270.456292334178,7711.753046028206,5562.614840450236,0.0,0.0,235704576252.8379,0.0
2,14540.912584668356,7710.029135266963,5560.873272394381,0.0,0.0,235583887226.54382,0.0
3,21811.368877002533,7708.305224505721,5559.131704338526,0.0,0.0,235463198200.24963,0.0
4,29081.825169336713,7706.581313744478,5557.390136282671,0.0,0.0,235342509173.95544,0.0
5,36352.28146167089,7704.857402983237,5555.648568226814,0.0,0.0,235221820147.6615,0.0
6,43622.737754005066,7703.133492221991,5553.907000170959,0.0,0.0,235101131121.3673,0.0
7,50893.194046339246,7701.40958146075,5552.165432115103,0.0,0.0,234980442095.073,0.0
8,58163.650338673426,7699.685670699509,5550.4238640592475,0.0,0.0,234859753068.77905,0.0
9,65434.106631007606,7697.9617599382655,5548.682296003391,0.0,0.0,234739064042.48462,0.0
10,72704.56292334179,7696.237849177024,5546.940727947535,0.0,0.0,234618375016.19055,0.0
11,79975.01921567596,7694.513938415781,5545.199159891679,0.0,0.0,234497685989.8963,0.0
12,87245.47550801013,7692.790027654539,5543.457591835823,0.0,0.0,234376996963.60223,0.0
13,94515.93180034432,7691.066116893297,5541.716023779968,0.0,0.0,234256307937.3081,0.0
14,101786.38809267849,7689.342206132054,5539.974455724111,0.0,0.0,234135618911.01385,0.0
15,109056.84438501268,7687.618295370811,5538.232887668257,0.0,0.0,234014929884.71967,0.0
16,116327.30067734685,7685.89438460957,5536.4913196124,0.0,0.0,233894240858.42554,0.0
17,123597.75696968102,7684.170473848327,5534.749751556545,0.0,0.0,233773551832.13138,0.0
18,130868.21326201521,7682.446563087085,5533.0081835006895,0.0,0.0,233652862805.83722,0.0
19,138138.66955434938,7680.722652325841,5531.266615444833,0.0,0.0,233532173779.54306,0.0
20,145409.12584668357,7678.9987415646,5529.525047388977,0.0,0.0,233411484753.24893,0.0
21,152679.58213901773,7677.274830803357,5527.78347933312,0.0,0.0,233290795726.95474,0.0
22,159950.03843135192,7675.550920042116,5526.041911277266,0.0,0.0,233170106700.66058,0.0
23,167220.4947236861,7673.827009280872,5524.300343221408,0.0,0.0,233049417674.3664,0.0
24,174490.95101602026,7672.103098519631,5522.558775165554,0.0,0.0,232928728648.07224,0.0
25,181761.40730835445,7670.379187758388,5520.817207109699,0.0,0.0,232808039621.77808,0.0
26,189031.86360068864,7668.655276997146,5519.075639053843,0.0,0.0,232687350595.48392,0.0
27,196302.31989302282,7666.931366235904,5517.334070997987,0.0,0.0,232566661569.18976,0.0
28,203572.77618535698,7665.2074554746605,5515.5925029421305,0.0,0.0,232445972542.89557,0.0
29,210843.23247769117,7663.483544713418,5513.850934886276,0.0,0.0,232325283516.6014,0.0
30,218113.68877002536,7661.759633952175,5512.109366830419,0.0,0.0,232203834722.71518,0.0
31,225384.14506235952,7660.035723190934,5510.367798774564,0.0,0.0,232071543727.7328,0.0
32,232654.6013546937,7658.311812429692,5508.626230718708,0.0,0.0,231939252732.75037,0.0
33,239925.0576470279,7656.5879016684485,5506.884662662852,0.0,0.0,231806961737.76794,0.0
34,247195.51393936205,7654.863990907208,5505.143094606997,0.0,0.0,231674670742.78555,0.0
35,254465.97023169624,7653.140080145964,5503.401526551141,0.0,0.0,231535737533.26526,0.0
36,261736.42652403042,7651.416169384723,5501.6599584952855,0.0,0.0,231394370174.5598,0.0
