,r,rho,vp,vs,vphi,K,G
0,0.620118438010028,7327.982476190569,5447.3231842947735,0.0,0.0,215231899922.58325,0.0
1,7317.988679119722,7326.257452863643,5445.549731146051,0.0,0.0,215123120196.38318,0.0
2,14635.357239801435,7324.532429536721,5443.776277997328,0.0,0.0,215014340470.1831,0.0
3,21952.72580048315,7322.807406209795,5442.002824848606,0.0,0.0,214905560743.98303,0.0
4,29270.09436116486,7321.0823828828725,5440.229371699884,0.0,0.0,214796781017.78284,0.0
5,36587.46292184658,7319.357359555948,5438.45591855116,0.0,0.0,214688001291.58313,0.0
6,43904.83148252829,7317.632336229023,5436.682465402437,0.0,0.0,214579221565.38306,0.0
7,51222.200043209996,7315.9073129021,5434.9090122537145,0.0,0.0,214470441839.18298,0.0
8,58539.56860389171,7314.182289575171,5433.13555910499,0.0,0.0,214361662112.98285,0.0
9,65856.93716457342,7312.457266248249,5431.362105956267,0.0,0.0,214252882386.78265,0.0
10,73174.30572525514,7310.732242921324,5429.588652807545,0.0,0.0,214144102660.58276,0.0
11,80491.67428593684,7309.007219594399,5427.81519965882,0.0,0.0,214035322934.38275,0.0
12,87809.04284661855,7307.282196267476,5426.041746510098,0.0,0.0,213926543208.1828,0.0
13,95126.41140730027,7305.557172940551,5424.268293361376,0.0,0.0,213817763481.98267,0.0
14,102443.77996798197,7303.832149613627,5422.494840212653,0.0,0.0,213708983755.7826,0.0
15,109761.14852866369,7302.107126286702,5420.72138706393,0.0,0.0,213600204029.58258,0.0
16,117078.5170893454,7300.382102959778,5418.947933915208,0.0,0.0,213491424303.38254,0.0
17,124395.88565002712,7298.657079632853,5417.174480766484,0.0,0.0,213382644577.1825,0.0
18,131713.25421070884,7296.932056305929,5415.401027617761,0.0,0.0,213273864850.98242,0.0
19,139030.62277139054,7295.207032979003,5413.627574469037,0.0,0.0,213165085124.78244,0.0
20,146347.99133207227,7293.482009652078,5411.854121320314,0.0,0.0,213056305398.58237,0.0
21,153665.35989275397,7291.756986325154,5410.080668171592,0.0,0.0,212947525672.38226,0.0
22,160982.72845343567,7290.0319629982305,5408.307215022869,0.0,0.0,212838745946.1823,0.0
23,168300.0970141174,7288.3069396713045,5406.533761874145,0.0,0.0,212729966219.98224,0.0
24,175617.4655747991,7286.58191634438,5404.760308725423,0.0,0.0,212621186493.78223,0.0
25,182934.8341354808,7284.856893017458,5402.986855576701,0.0,0.0,212512406767.58215,0.0
26,190252.20269616254,7283.131869690533,5401.213402427978,0.0,0.0,212403627041.38214,0.0
27,197569.57125684424,7281.406846363608,5399.4399492792545,0.0,0.0,212294847315.1821,0.0
28,204886.93981752594,7279.681823036684,5397.666496130531,0.0,0.0,212186067588.98206,0.0
29,212204.30837820767,7277.956799709758,5395.893042981808,0.0,0.0,212077287862.782,0.0
30,219521.67693888937,7276.231776382834,5394.119589833085,0.0,0.0,211968508136.58194,0.0
31,226839.0454995711,7274.506753055909,5392.346136684362,0.0,0.0,211852408197.73782,0.0
32,234156.4140602528,7272.781729728985,5390.572683535639,0.0,0.0,211733817338.5494,0.0
33,241473.7826209345,7271.05670640206,5388.799230386915,0.0,0.0,211615226479.36096,0.0
34,248791.15118161624,7269.331683075136,5387.025777238193,0.0,0.0,211496635620.17255,0.0
35,256108.51974229794,7267.606659748211,5385.252324089471,0.0,0.0,211375231480.58325,0.0
36,263425.8883029797,7265.881636421287,5383.478870940748,0.0,0.0,211248944123.38046,0.0
37,270743.2568636614,7264.156613094363,5381.7054177920245,0.0,0.0,211122656766.17767,0.0
38,278060.6254243431,7262.431589767438,5379.931964643301,0.0,0.0,210996369408.97488,0.0
39,285377.9939850248,7260.706566440513,5378.158511494578,0.0,0.0,210864336098.89636,0.0
40,292695.36254570656,7258.981543113589,5376.385058345855,0.0,0.0,210731498453.414,0.0
41,300012.73110638827,7257.256519786664,5374.611605197133,0.0,0.0,210598660807.93158,0.0
42,307330.09966706997,7255.53149645974,5372.838152048409,0.0,0.0,210460427022.6108,0.0
43,314647.46822775167,7253.806473132816,5371.064698899687,0.0,0.0,210321791280.14032,0.0
44,321964.8367884334,7252.081449805891,5369.291245750964,0.0,0.0,210181293399.22003,0.0
45,329282.2053491151,7250.356426478967,5367.517792602241,0.0,0.0,210037403316.13168,0.0
46,336599.57390979683,7248.6314031520415,5365.7443394535185,0.0,0.0,209893271021.6296,0.0
47,343916.94247047853,7246.906379825117,5363.9708863047945,0.0,0.0,209744543483.38565,0.0
48,351234.31103116024,7245.181356498193,5362.197433156072,0.0,0.0,209595815945.14166,0.0
49,358551.67959184194,7243.456333171269,5360.423980007349,0.0,0.0,209442784681.64453,0.0
50,365869.04815252364,7241.731309844344,5358.650526858626,0.0,0.0,209289432528.0388,0.0
51,373186.4167132054,7240.0062865174195,5356.877073709903,0.0,0.0,209131970620.15765,0.0
52,380503.7852738871,7238.281263190495,5355.10362056118,0.0,0.0,208973553136.3948,0.0
53,387821.1538345688,7236.55623986357,5353.330167412457,0.0,0.0,208812092056.10257,0.0
54,395138.5223952505,7234.831216536645,5351.556714263734,0.0,0.0,208648484361.82492,0.0
55,402455.8909559322,7233.106193209722,5349.783261115011,0.0,0.0,208483222057.4362,0.0
56,409773.2595166139,7231.381169882798,5348.009807966288,0.0,0.0,208314371493.50238,0.0
57,417090.62807729567,7229.656146555872,5346.2363548175645,0.0,0.0,208143749170.383,0.0
58,424407.99663797737,7227.931123228947,5344.462901668842,0.0,0.0,207971109273.9221,0.0
59,431725.36519865907,7226.206099902023,5342.689448520119,0.0,0.0,207795397902.50842,0.0
60,439042.7337593408,7224.481076575099,5340.915995371396,0.0,0.0,207617334365.40826,0.0
61,446360.1023200225,7222.756053248175,5339.142542222673,0.0,0.0,207437039295.07776,0.0
62,453677.47088070423,7221.031029921251,5337.369089073951,0.0,0.0,207254398337.42334,0.0
63,460994.83944138594,7219.306006594325,5335.595635925227,0.0,0.0,207069324841.10092,0.0
64,468312.20800206764,7217.580983267401,5333.822182776505,0.0,0.0,206881344830.99347,0.0
65,475629.57656274934,7215.855959940476,5332.0487296277815,0.0,0.0,206690935480.20773,0.0
66,482946.94512343104,7214.130936613552,5330.275276479058,0.0,0.0,206498057419.68988,0.0
67,490264.3136841128,7212.405913286627,5328.501823330335,0.0,0.0,206302670050.54953,0.0
68,497581.6822447945,7210.680889959704,5326.728370181612,0.0,0.0,206104744035.41748,0.0
69,504899.0508054762,7208.955866632778,5324.954917032889,0.0,0.0,205904259092.9134,0.0
70,512216.4193661579,7207.230843305853,5323.181463884166,0.0,0.0,205701202265.50055,0.0
71,519533.7879268396,7205.505819978929,5321.408010735444,0.0,0.0,205495566546.44327,0.0
72,526851.1564875214,7203.780796652005,5319.63455758672,0.0,0.0,205287349782.55447,0.0
73,534168.5250482031,7202.055773325081,5317.861104437998,0.0,0.0,205076553790.87708,0.0
74,541485.8936088848,7200.330749998155,5316.087651289274,0.0,0.0,204862942792.93576,0.0
75,548803.2621695665,7198.605726671231,5314.3141981405515,0.0,0.0,204646664195.36203,0.0
76,556120.6307302482,7196.880703344306,5312.540744991828,0.0,0.0,204427801238.3666,0.0
77,563437.9992909299,7195.155680017382,5310.767291843106,0.0,0.0,204206368980.89508,0.0
78,570755.3678516116,7193.430656690457,5308.993838694383,0.0,0.0,203982251526.08777,0.0
79,578072.7364122933,7191.705633363533,5307.22038554566,0.0,0.0,203755244864.7245,0.0
80,585390.1049729751,7189.980610036608,5305.446932396937,0.0,0.0,203525706168.0963,0.0
81,592707.4735336568,7188.255586709684,5303.673479248214,0.0,0.0,203293451360.52618,0.0
82,600024.8420943385,7186.530563382759,5301.900026099492,0.0,0.0,203058350735.84836,0.0
